timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559589805,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-272,text,false,346,153,153,http://azua1.test.itcrowd/db?queries=5,129
1443559589804,130,Fortunes,502,Bad Gateway,Azure A1 2-268,text,false,346,153,153,http://azua1.test.itcrowd/fortunes,130
1443559589806,131,Multiple DB update 50,502,Bad Gateway,Azure A1 2-198,text,false,346,153,153,http://azua1.test.itcrowd/updates?queries=50,131
1443559589821,130,Multiple DB update 5,502,Bad Gateway,Azure A1 2-113,text,false,346,153,153,http://azua1.test.itcrowd/updates?queries=5,130
1443559589827,133,Multiple DB update 5,502,Bad Gateway,Azure A1 2-264,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=5,133
1443559589831,129,Multiple DB update 500,502,Bad Gateway,Azure A1 2-267,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=500,129
1443559589716,263,Hello json,502,Bad Gateway,Azure A1 2-275,text,false,346,151,151,http://azua1.test.itcrowd/json,263
1443559589857,136,Multiple DB update 500,502,Bad Gateway,Azure A1 2-205,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=500,136
1443559589859,138,Multiple DB update 5,502,Bad Gateway,Azure A1 2-81,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,138
1443559589868,132,Multiple DB update 5,502,Bad Gateway,Azure A1 2-150,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,132
1443559589868,135,Multiple DB 50,502,Bad Gateway,Azure A1 2-271,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,135
1443559589877,129,simple DB,502,Bad Gateway,Azure A1 2-274,text,false,346,150,150,http://azua1.test.itcrowd/db,129
1443559589895,129,Multiple DB update 500,502,Bad Gateway,Azure A1 2-204,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=500,129
1443559589898,132,Multiple DB update 50,502,Bad Gateway,Azure A1 2-266,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,132
1443559589927,129,Fortunes,502,Bad Gateway,Azure A1 2-269,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,129
1443559589927,131,Multiple DB 5,502,Bad Gateway,Azure A1 2-273,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,131
1443559583164,6895,simple DB,200,OK,Azure A1 2-207,text,true,274,150,150,http://azua1.test.itcrowd/db,6895
1443559589935,130,Multiple DB update 500,502,Bad Gateway,Azure A1 2-268,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=500,130
1443559589935,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-272,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,130
1443559589938,136,Multiple DB update 5,502,Bad Gateway,Azure A1 2-198,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,136
1443559589814,260,Hello json,502,Bad Gateway,Azure A1 2-276,text,false,346,150,150,http://azua1.test.itcrowd/json,260
1443559589994,128,Multiple DB update 50,502,Bad Gateway,Azure A1 2-205,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,128
1443559589993,131,simple DB,502,Bad Gateway,Azure A1 2-275,text,false,346,150,150,http://azua1.test.itcrowd/db,131
1443559582593,7555,Multiple DB update 500,500,Internal Server Error,Azure A1 2-62,text,false,848,150,150,http://azua1.test.itcrowd/updates?queries=500,7555
1443559590026,130,Multiple DB 5,502,Bad Gateway,Azure A1 2-274,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,130
1443559590026,130,Multiple DB update 50,502,Bad Gateway,Azure A1 2-204,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,130
1443559590027,133,Multiple DB 500,502,Bad Gateway,Azure A1 2-271,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,133
1443559589916,262,Hello json,502,Bad Gateway,Azure A1 2-277,text,false,346,150,150,http://azua1.test.itcrowd/json,262
1443559582071,8112,Multiple DB update 500,200,OK,Azure A1 2-41,text,true,16159,150,150,http://azua1.test.itcrowd/updates?queries=500,7852
1443559590057,129,Multiple DB update 500,502,Bad Gateway,Azure A1 2-269,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=500,129
1443559590059,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-273,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,130
1443559590060,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-207,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,129
1443559590066,136,Multiple DB 500,502,Bad Gateway,Azure A1 2-272,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,136
1443559590066,136,Multiple DB update 50,502,Bad Gateway,Azure A1 2-268,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,136
1443559583099,7118,Hello json,200,OK,Azure A1 2-209,text,true,270,151,151,http://azua1.test.itcrowd/json,7118
1443559590124,131,Multiple DB 5,502,Bad Gateway,Azure A1 2-275,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=5,131
